"modell","inverkehrssetzung","fahrzeugart","aussenfarbe","kilometer","getriebeart","antrieb","treibstoff","tueren","sitze","innenfarbe","hubrauminccm","zylinder","leistunginps","leergewicht","verbrauch","co2.emission","energieeffizienz","abmfk","garantie","preis"
"VW Passat 1.8 TSI Comfort(Kombi)","01-2010","Occasion","grau","42'623 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"0 Monate","CHF 28'800.- "
"VW  Passat 1.8T 20V(Kombi)","01-1999","Occasion","weiss","175'700 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1781,NA,150,NA,NA,NA,NA,TRUE,"0 Monate","CHF 5'750.- "
"VW VAR SYNCRO (Kombi)","03-1999","Occasion","silber","152'500 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",1780,4,90,NA,NA,NA,NA,TRUE,"3 Monate","CHF 5'300.- "
"VW Variant(Kombi)","02-1969","Oldtimer","grau","120'000 km","Handschaltung","Hinterradantrieb","Benzin",3,5,"grau",1584,4,54,NA,NA,NA,NA,FALSE,"0 Monate","CHF 4'500.- "
"VW Bora 1.6(Kombi)","02-2000","Occasion","blau","161'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1595,4,100,"1297 kg","7.7 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'900.- "
"VW Bora 1.6 16V(Kombi)","04-2003","Occasion","schwarz","134'716 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1598,4,105,"1425 kg","7 l/100km","168 g/km","C",TRUE,"3 Monate","CHF 8'500.- "
"VW Bora 1.6 16V Comfortline(Kombi)","12-2004","Occasion","silber","72'250 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1598,4,105,"1425 kg","7 l/100km","168 g/km","C",TRUE,"0 Monate","CHF 12'700.- "
"VW Bora 1.6 16V Comfortline(Kombi)","09-2001","Occasion","silber","160'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1598,4,105,"1425 kg","7.1 l/100km","170 g/km","D",FALSE,"0 Monate","CHF 7'850.- "
"VW Bora 1.6 16V Comfortline(Kombi)","06-2000","Occasion","blau","134'600 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1598,4,105,"1425 kg","7 l/100km","168 g/km","C",TRUE,"3 Monate","CHF 7'000.- "
"VW Bora 1.6 A(Kombi)","10-2001","Occasion","silber","64'000 km","Automat","Vorderradantrieb","Benzin",5,5,"grau",1595,4,100,"1439 kg","8.1 l/100km","194 g/km","E",TRUE,"0 Monate","CHF 9'900.- "
"VW Bora 1.6 Comfortline(Kombi)","09-1999","Occasion","weiss","237'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1595,4,100,"1297 kg","7.7 l/100km",NA,NA,FALSE,"0 Monate","CHF 2'500.- "
"VW Bora 1.8 T Highline(Kombi)","04-2002","Occasion","blau","139'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1465 kg","8 l/100km","192 g/km","E",TRUE,"0 Monate","CHF 7'500.- "
"VW Bora 1.8 T Highline(Kombi)","02-2002","Occasion","silber","172'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1465 kg","8.1 l/100km","194 g/km","E",TRUE,"0 Monate","CHF 9'800.- "
"VW Bora 1.8 T Highline(Kombi)","12-2003","Occasion","schwarz","127'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,180,"1505 kg","8.5 l/100km","204 g/km","F",FALSE,"0 Monate","CHF 7'900.- "
"VW Bora 1.8 T Highline(Kombi)","01-2003","Occasion","blau","184'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,180,"1505 kg","8.5 l/100km","204 g/km","F",TRUE,"0 Monate","CHF 9'200.- "
"VW Bora 1.8 T Highline(Kombi)","09-2002","Occasion","blau","76'000 km","Automat","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1518 kg","9.2 l/100km","221 g/km","G",TRUE,"0 Monate","CHF 8'800.- "
"VW Bora 1.9 TDI Comf.4Motion(Kombi)","04-2000","Occasion","anthrazit","112'000 km","Handschaltung","Allrad","Diesel",5,5,"anthrazit",1896,4,115,"1528 kg","6.3 l/100km","170 g/km",NA,FALSE,"0 Monate","CHF 9'900.- "
"VW Bora 1.9 TDI Comf.4Motion(Kombi)","12-2001","Occasion","silber","196'000 km","Handschaltung","Allrad","Diesel",5,5,"schwarz",1896,4,130,"1605 kg","6.3 l/100km","173 g/km","C",TRUE,"0 Monate","CHF 6'900.- "
"VW Bora 1.9 TDI Comf.4Motion(Kombi)","09-2003","Occasion","blau","139'000 km","Handschaltung","Allrad","Diesel",5,5,"schwarz",1896,4,130,"1605 kg","6.3 l/100km","173 g/km","C",FALSE,"0 Monate","CHF 10'800.- "
"VW Bora 1.9 TDI Comf.4Motion(Kombi)","03-2001","Occasion","gruen","183'500 km","Handschaltung","Allrad","Diesel",5,5,"anthrazit",1896,4,115,"1528 kg","6.3 l/100km","170 g/km",NA,TRUE,"2 Monate","CHF 10'800.- "
"VW Bora 1.9 TDI Comf.4Motion(Kombi)","09-2000","Occasion","silber","330'000 km","Handschaltung","Allrad","Diesel",5,5,NA,1896,4,115,"1528 kg","6.3 l/100km","170 g/km",NA,FALSE,"0 Monate","CHF 2'900.- "
"VW Bora 1.9 TDI Comfortline(Kombi)","10-1999","Occasion","silber","181'000 km","Automat","Vorderradantrieb","Diesel",5,5,"schwarz",1896,4,110,"1400 kg","6.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 6'600.- "
"VW Bora 1.9TDI Highl.4Motion(Kombi)","06-2000","Occasion","grau","179'000 km","Handschaltung","Allrad","Diesel",5,5,"anthrazit",1896,4,115,"1528 kg","6.3 l/100km","170 g/km",NA,FALSE,"0 Monate","CHF 8'800.- "
"VW Bora 1.9TDI Highl.4Motion(Kombi)","05-2003","Occasion","anthrazit","165'000 km","Handschaltung","Allrad","Diesel",5,5,NA,1896,4,130,"1605 kg","6.3 l/100km","173 g/km","C",FALSE,"0 Monate","CHF 7'900.- "
"VW Bora 1.9TDI Highl.4Motion(Kombi)","02-2001","Occasion","gruen","129'000 km","Handschaltung","Allrad","Diesel",5,5,"schwarz",1896,4,115,"1528 kg","6.3 l/100km","170 g/km",NA,TRUE,"0 Monate","CHF 11'800.- "
"VW Bora 1.9TDI Highl.4Motion(Kombi)","03-2002","Occasion","silber","94'000 km","Handschaltung","Allrad","Diesel",5,5,"anthrazit",1896,4,130,"1605 kg","6.3 l/100km","173 g/km","C",TRUE,"0 Monate","CHF 13'500.- "
"VW Bora 1.9 TDI PD(Kombi)","08-2004","Occasion","schwarz","157'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"schwarz",1896,4,130,"1505 kg","5.4 l/100km","146 g/km","A",TRUE,"0 Monate","CHF 7'900.- "
"VW Bora 1.9 TDI PD(Kombi)","07-2001","Occasion","grau","219'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"schwarz",1896,4,115,"1425 kg","5.4 l/100km","146 g/km",NA,FALSE,"0 Monate","CHF 4'300.- "
"VW Bora 1.9 TDI PD(Kombi)","07-2001","Occasion","silber","142'580 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"schwarz",1896,4,115,"1425 kg","5.4 l/100km","146 g/km",NA,TRUE,"3 Monate","CHF 8'400.- "
"VW Bora 1.9 TDI PD Comfortl. (Kombi)","09-2002","Occasion","weiss","126'811 km","Automat","Vorderradantrieb","Diesel",5,5,"anthrazit",1896,4,100,"1545 kg","6.6 l/100km","178 g/km","C",TRUE,"3 Monate","CHF 10'990.- "
"VW Bora 1.9 TDI PD Highline(Kombi)","06-2001","Occasion","gruen","90'375 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"schwarz",1896,4,115,"1425 kg","5.4 l/100km","146 g/km",NA,FALSE,"0 Monate","CHF 12'600.- "
"VW Bora 1.9 TDI PD Highline(Kombi)","07-1999","Occasion","schwarz","183'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"rot",1896,4,115,"1425 kg","5.4 l/100km","146 g/km",NA,FALSE,"0 Monate","CHF 3'900.- "
"VW Bora 1.9 TDI PD Highline(Kombi)","07-2000","Occasion","grau","170'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,NA,1896,4,115,"1425 kg","5.4 l/100km","146 g/km",NA,TRUE,"0 Monate","CHF 7'500.- "
"VW Bora 1.9 TDI PD Highline(Kombi)","12-2003","Occasion","grau","172'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"schwarz",1896,4,130,"1505 kg","5.4 l/100km","149 g/km","A",TRUE,"3 Monate","CHF 8'500.- "
"VW Bora 1.9 TDI PD Highline(Kombi)","12-2003","Occasion","blau","144'500 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"schwarz",1896,4,130,"1505 kg","5.4 l/100km","149 g/km","A",FALSE,"0 Monate","CHF 8'600.- "
"VW Bora 1.9 TDI PD Trendline(Kombi)","04-2001","Occasion","blau","187'800 km","Handschaltung","Vorderradantrieb","Diesel",5,5,NA,1896,4,115,"1425 kg","5.4 l/100km","146 g/km",NA,TRUE,"0 Monate","CHF 7'800.- "
"VW Bora 2.0(Kombi)","01-2001","Occasion","schwarz","113'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"12 Monate","CHF 4'900.- "
"VW Bora 2.0(Kombi)","02-2005","Occasion","silber","112'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",FALSE,"0 Monate","CHF 8'500.- "
"VW Bora 2.0(Kombi)","03-2003","Occasion","silber","137'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"0 Monate","CHF 7'900.- "
"VW Bora 2.0 Comfort 4Motion(Kombi)","04-2001","Occasion","gruen","129'000 km","Handschaltung","Allrad","Benzin",5,5,"grau",1984,4,115,"1542 kg","8.8 l/100km","214 g/km","F",FALSE,"0 Monate","CHF 9'900.- "
"VW Bora 2.0 Comfortline(Kombi)","11-1999","Occasion","silber","142'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",FALSE,"0 Monate","CHF 4'300.- "
"VW Bora 2.0 Comfortline(Kombi)","09-1999","Occasion","bordeaux","95'400 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"0 Monate","CHF 7'800.- "
"VW Bora 2.0 Comfortline(Kombi)","04-2001","Occasion","silber","139'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"3 Monate","CHF 6'900.- "
"VW Bora 2.0 Comfortline(Kombi)","07-2000","Occasion","blau","171'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"0 Monate","CHF 4'900.- "
"VW Bora 2.0 Comfortline(Kombi)","05-2001","Occasion","gruen","123'500 km","Automat","Vorderradantrieb","Benzin",5,5,"anthrazit",1984,4,115,"1470 kg","9.1 l/100km","218 g/km","G",TRUE,"0 Monate","CHF 7'000.- "
"VW Bora 2.0 Comfortline(Kombi)","02-2002","Occasion","grau","188'915 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"0 Monate","CHF 4'700.- "
"VW Bora 2.0 Comfortline(Kombi)","02-2002","Occasion","blau","160'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",TRUE,"0 Monate","CHF 4'500.- "
"VW Bora 2.0 Comfortline(Kombi)","02-2000","Occasion","grau","215'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","E",FALSE,"0 Monate","CHF 2'400.- "
"VW Bora 2.0 Trendline(Kombi)","06-2001","Occasion","silber","168'900 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1984,4,115,"1395 kg","9.1 l/100km",NA,NA,TRUE,"0 Monate","CHF 7'900.- "
"VW Bora 2.0 Trendline(Kombi)","02-2001","Occasion","gruen","101'000 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1395 kg","9.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 7'500.- "
"VW Bora 2.0 Trendline(Kombi)","08-1999","Occasion","gruen","226'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1395 kg","8.1 l/100km","194 g/km",NA,FALSE,"0 Monate","CHF 2'500.- "
"VW Bora 2.0 Trendline(Kombi)","05-2001","Occasion","blau","170'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1984,4,115,"1395 kg","8.1 l/100km","194 g/km",NA,FALSE,"0 Monate","CHF 4'800.- "
"VW Bora 2.3 Highline(Kombi)","02-2000","Occasion","blau","148'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",2324,5,150,"1415 kg","9.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 3'490.- "
"VW Bora 2.3 Highline(Kombi)","08-2000","Occasion","gruen","178'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,2324,5,150,"1415 kg","9.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 4'900.- "
"VW Bora 2.3 Highline(Kombi)","06-1999","Occasion","grau","154'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,2324,5,150,"1415 kg","9.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'200.- "
"VW Bora 2.3 Highline(Kombi)","07-2001","Occasion","blau","171'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",2324,5,170,"1528 kg","8.8 l/100km","211 g/km","F",TRUE,"12 Monate","CHF 5'900.- "
"VW Bora 2.3 Highline(Kombi)","07-1999","Occasion","schwarz","253'893 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",2324,5,150,"1415 kg","9.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'700.- "
"VW Bora 2.3 Highline(Kombi)","03-2001","Occasion","blau","170'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,2324,5,170,"1528 kg","9.9 l/100km","238 g/km","G",TRUE,"3 Monate","CHF 4'800.- "
"VW Bora 2.3 Highline(Kombi)","09-1999","Occasion","rot","170'900 km","Automat","Vorderradantrieb","Benzin",5,5,"anthrazit",2324,5,150,"1415 kg","10.1 l/100km",NA,NA,TRUE,"3 Monate","CHF 6'900.- "
"VW Bora 2.3 Highline(Kombi)","05-2000","Occasion","blau","275'300 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,2324,5,150,"1415 kg","9.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 3'000.- "
"VW Bora 2.3 Highline(Kombi)","02-2002","Occasion","beige","85'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"beige",2324,5,170,"1528 kg","8.9 l/100km","214 g/km","F",FALSE,"12 Monate","CHF 9'950.- "
"VW Bora 2.3 Highline(Kombi)","07-1999","Occasion","blau","190'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,2324,5,150,"1415 kg","9.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 3'500.- "
"VW Bora 2.3 Highline(Kombi)","11-2001","Occasion","blau","126'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,2324,5,150,"1415 kg","9.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 5'900.- "
"VW Bora 2.3 Highline(Kombi)","10-1999","Occasion","schwarz","181'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",2324,5,150,"1415 kg","9.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 4'995.- "
"VW Bora 2.3 Highline 4Motion(Kombi)","02-2000","Occasion","blau","187'000 km","Handschaltung","Allrad","Benzin",5,5,"beige",2324,5,150,"1536 kg","10.5 l/100km",NA,NA,TRUE,"0 Monate","CHF 6'800.- "
"VW Bora 2.3 Highline 4Motion(Kombi)","07-2001","Occasion","anthrazit","176'600 km","Handschaltung","Allrad","Benzin",5,5,"grau",2324,5,170,"1609 kg","10 l/100km","242 g/km","G",TRUE,"3 Monate","CHF 7'500.- "
"VW Bora 2.3 Highline 4Motion(Kombi)","11-2001","Occasion","silber","193'500 km","Handschaltung","Allrad","Benzin",5,5,"grau",2324,5,170,"1609 kg","10 l/100km","242 g/km","G",FALSE,"0 Monate","CHF 2'000.- "
"VW Bora 2.3 Highline 4Motion(Kombi)","04-2002","Occasion","schwarz","162'160 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",2324,5,170,"1609 kg","10 l/100km","242 g/km","G",TRUE,"12 Monate","CHF 11'500.- "
"VW Bora 2.3 Highline 4Motion(Kombi)","09-2001","Occasion","blau","77'000 km","Handschaltung","Allrad","Benzin",5,5,"anthrazit",2324,5,170,"1609 kg","10.1 l/100km","242 g/km","G",FALSE,"0 Monate","CHF 10'400.- "
"VW Bora 2.3 Highline 4Motion(Kombi)","09-2001","Occasion","schwarz","123'500 km","Handschaltung","Allrad","Benzin",5,5,NA,2324,5,170,"1609 kg","10.1 l/100km","242 g/km","G",FALSE,"12 Monate","CHF 9'900.- "
"VW Bora 2.3 Highline 4Motion(Kombi)","05-2001","Occasion","silber","217'700 km","Handschaltung","Allrad","Benzin",5,5,NA,2324,5,170,"1609 kg","10 l/100km","242 g/km","G",FALSE,"0 Monate","CHF 3'800.- "
"VW Bora 2.3 Highline 4Motion(Kombi)","03-2000","Occasion","bordeaux","152'500 km","Handschaltung","Allrad","Benzin",5,5,NA,2324,5,150,"1536 kg","10.5 l/100km",NA,NA,TRUE,"0 Monate","CHF 8'900.- "
"VW Bora 2.3 Highline V5(Kombi)","05-2000","Occasion","schwarz","166'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",2324,5,150,"1415 kg","9.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 7'200.- "
"VW Bora 2.8 Highline 4Motion(Kombi)","07-2000","Occasion","weiss","173'000 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",2792,6,204,"1627 kg","11 l/100km","266 g/km","G",TRUE,"0 Monate","CHF 7'500.- "
"VW Bora 2.8 Highline 4Motion(Kombi)","11-2000","Occasion","silber","129'000 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",2792,6,204,"1627 kg","11 l/100km","266 g/km","G",FALSE,"0 Monate","CHF 6'800.- "
"VW Bora 2.8 Highline 4Motion(Kombi)","10-2001","Occasion","schwarz","164'500 km","Handschaltung","Allrad","Benzin",5,5,"grau",2792,6,204,"1627 kg","11 l/100km","266 g/km","G",FALSE,"0 Monate","CHF 6'500.- "
"VW Bora 2.8 Highline 4Motion(Kombi)","04-2001","Occasion","schwarz","173'200 km","Handschaltung","Allrad","Benzin",5,5,"beige",2792,6,204,"1627 kg","11 l/100km","266 g/km","G",TRUE,"12 Monate","CHF 9'550.- "
"VW Bora 2.8 Highline 4Motion(Kombi)","04-2002","Occasion","gruen","185'123 km","Handschaltung","Allrad","Benzin",5,5,NA,2792,6,204,"1627 kg","11 l/100km","266 g/km","G",TRUE,"3 Monate","CHF 7'200.- "
"VW Bora 28l V6 4Motion(Kombi)","04-2002","Occasion","silber","116'900 km","Handschaltung","Allrad","Benzin",5,5,"schwarz",2800,6,204,"1600 kg",NA,NA,NA,FALSE,"0 Monate","CHF 10'000.- "
"VW Bora VARIANT(Kombi)","01-2000","Occasion","gruen","166'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"beige",2324,NA,NA,NA,NA,NA,NA,TRUE,"0 Monate","CHF 4'600.- "
"VW Bora Variant 1.8 20V 180 Tbo Highline(Kombi)","04-2004","Occasion","rot","115'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1781,4,180,"1505 kg","8.5 l/100km","204 g/km","D",TRUE,"0 Monate","CHF 10'900.- "
"VW Bora Variant 2.0 Comfortline(Kombi)","01-2000","Occasion","blau","132'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1984,4,115,"1437 kg","8 l/100km","192 g/km","D",TRUE,"0 Monate","CHF 6'850.- "
"VW Bora Variant 2.3 V5 Highline(Kombi)","10-2000","Occasion","schwarz","141'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",2324,5,150,"1415 kg","9.4 l/100km","220 g/km",NA,TRUE,"0 Monate","CHF 7'900.- "
"VW Bora Variant 2.3 V5 Highline(Kombi)","07-2000","Occasion","blau","112'100 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,2324,5,150,"1415 kg","9.4 l/100km","220 g/km",NA,TRUE,"0 Monate","CHF 7'900.- "
"VW Bora Variant 2.8 V6 Highline 4motion(Kombi)","05-2000","Occasion","grau","110'000 km","Handschaltung","Allrad","Benzin",5,5,NA,2792,6,204,"1627 kg","11 l/100km","264 g/km","F",TRUE,"0 Monate","CHF 10'200.- "
"VW Bora Variant 2.8 V6 Highline 4motion(Kombi)","06-2000","Occasion","gruen","144'000 km","Handschaltung","Allrad","Benzin",5,5,NA,2792,6,204,"1627 kg","11 l/100km","264 g/km","F",TRUE,"0 Monate","CHF 7'500.- "
"VW Caddy 1.2TSI(Kombi)","07-2011","Vorfuehrwagen","weiss","3'000 km","Handschaltung","Vorderradantrieb","Benzin",4,5,"anthrazit",1197,4,86,"1525 kg","6.8 l/100km","158 g/km",NA,TRUE,"24 Monate","CHF 23'990.- "
"VW Caddy 1.2TSI Trendline(Kombi)","07-2011","Occasion","blau","100 km","Handschaltung","Vorderradantrieb","Benzin",5,NA,"anthrazit",1197,4,86,"1560 kg","6.8 l/100km","158 g/km",NA,FALSE,"24 Monate","CHF 22'650.- "
"VW Caddy 1.2TSI Trendline(Kombi)","02-2011","Occasion","schwarz","13'900 km","Handschaltung","Vorderradantrieb","Benzin",5,7,"anthrazit",1197,4,105,"1560 kg","6.7 l/100km","156 g/km",NA,TRUE,"12 Monate","CHF 24'900.- "
"VW Caddy 1.2TSI Trendline(Kombi)","03-2011","Occasion","schwarz","3'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1197,4,105,"1560 kg","6.7 l/100km","156 g/km",NA,FALSE,"0 Monate","CHF 28'900.- "
"VW Caddy 1.4(Kombi)","08-2004","Occasion","weiss","114'000 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,NA,1390,4,75,"1540 kg","8.3 l/100km","199 g/km","D",FALSE,"3 Monate","CHF 10'900.- "
"VW Caddy 1.4(Kombi)","10-2005","Occasion","weiss","7'900 km","Handschaltung","Vorderradantrieb","Benzin",4,5,"grau",1390,4,75,"1540 kg","8.3 l/100km","199 g/km","D",TRUE,"3 Monate","CHF 15'980.- "
"VW Caddy 1.4(Kombi)","05-2005","Occasion","rot","135'000 km","Handschaltung","Vorderradantrieb","Benzin",4,5,"grau",1390,4,75,"1540 kg","8.2 l/100km","197 g/km","C",FALSE,"0 Monate","CHF 10'800.- "
"VW Caddy 1.4(Kombi)","06-1997","Occasion","weiss","197'000 km","Handschaltung","Vorderradantrieb","Benzin",3,5,"grau",1390,4,60,"1153 kg","8 l/100km","192 g/km","E",FALSE,"0 Monate","CHF 2'200.- "
"VW Caddy 1.4(Kombi)","03-2006","Occasion","grau","104'000 km","Handschaltung","Vorderradantrieb","Benzin",4,5,"grau",1390,4,75,"1540 kg","8.3 l/100km","199 g/km","D",TRUE,"12 Monate","CHF 9'900.- "
"VW Caddy 1.4(Kombi)","09-2004","Occasion","weiss","164'000 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"anthrazit",1390,4,75,"1540 kg","8.3 l/100km","199 g/km","D",FALSE,"1 Monate","CHF 11'900.- "
"VW Caddy 1.4(Kombi)","12-2007","Occasion","weiss","35'000 km","Handschaltung","Vorderradantrieb","Benzin",4,5,"grau",1390,4,75,"1540 kg","8.3 l/100km","199 g/km","D",FALSE,"12 Monate","CHF 18'900.- "
"VW Caddy 1.4(Kombi)","08-1996","Occasion","rot","202'000 km","Handschaltung","Vorderradantrieb","Benzin",3,5,"grau",1390,4,60,"1153 kg","8 l/100km","192 g/km","E",FALSE,"0 Monate","CHF 1'450.- "
"VW Caddy 1.4(Kombi)","05-2002","Occasion","blau","89'900 km","Handschaltung","Vorderradantrieb","Benzin",NA,NA,"grau",NA,NA,NA,NA,NA,NA,NA,TRUE,"0 Monate","CHF 7'500.- "
"VW Caddy 1.4(Kombi)","03-1999","Occasion","weiss","182'900 km","Handschaltung","Vorderradantrieb","Benzin",3,5,"grau",1390,4,60,"1153 kg","8 l/100km","192 g/km","E",TRUE,"0 Monate","CHF 3'999.- "
